id,text,hash_tag
Ce8kkITPMbw,"우리딸, 안 괜찮아도 괜찮아..ㅠㅠㅠㅠ 너무 슬프다😭😭",슬픔
CfJF0qPvNZf,"#2년동안로판꿈

흐릿해지는 기억을 어떻게 표현해야 할지 잘 모르겠어요.
지금도 저는 그 사람의 이름과 생김새를 모릅니다. 제가 그 얼굴과 행동을 보며 느낀 감정 정도만 기억나요. 투명한 천에 한 번 걸러져서 기억하는 느낌?
.
.
.
#일상 #일상툰 #인스타툰 #그림 #로판 #2년 #첫사랑 #썰 #꿈 #기억 #반년 #초조 #슬픔 #눈물 #illustration #cartoon #drawing",슬픔
CdGF60KpXg8,"눈물이 많은 울보 특징 모음🤍
@@이거 너 아냥?‧º·(˚ ˃̣̣̥⌓˂̣̣̥ )‧º·˚
.
오늘의 꿀팁은👉 @lady_good_tip💟
.
#꿀팁 #인싸 #공감 #울보 #눈물 #눈물많음 #울보특징 #특징 #특징모음 #화 #감정 #슬픔 #친구 #유머 #재미",슬픔
CeOdAeiJ_ka,"하나님이 계신다는 사실이, 내가 믿는 하나님이 살아계시다는 사실이 깊고 깊이 위로가 되고, 소망이됩니다.

성령은 우리의 연약함을 도우시나니
우리는 마땅히 기도할 바를 알지 못하나
오직 성령이 말할 수 없는 탄식으로 우리를 위하여 친히 간구하시느니라
로마서 8장 26절

우리가 알거니와 하나님을 사랑하는 자 곧 그의 뜻대로 부르심을 입은 자들에게는 모든 것이 합력하여 선을 이루느니라
로마서 8장 28절",슬픔
CdKaF_grzGb,"🎁 유머 꿀템 @fox.tving 🎁
━━━━━━━━━━━━━━━━━━━━━
.
.
.
#우리들의블루스 #최영준 #노윤서 #슬픔 #눈물 #아픔 #감성 #꿀잼 #꿀잼영상 #유머 #예능 #힐링 #유머저장소 #웃어요 #웃음 #재미 #좋아요 #좋반 #좋테 #힐링",슬픔
CddL3nMPPqc,"[5월은 누군가에겐 잔인한 달] 3화 - 한때 나의 대나무숲이었던 친구에게
어릴 때 친구라는 것은 나의 정제되지 않은 모습까지 보여줄 수 있었던 사람이기에 애틋하지만 한 편으론 상처를 다루는 법을 몰랐던 전쟁 같은 시절의 전우이기도 하다.
어버이날이 코앞으로 다가와 잊고 살았던 그 시절 트라우마들이 수면 위로 떠오를 때쯤 행복해지기 위해 치열한 전투를 함께 펼쳤던 친구와 만났다.

지금이야 ‘날 괴롭히는 것과 거리두기를 하세요’라고 말할 수 있는 어른이 되어가고 있지만 그땐 독립을 하는 것도, 혼자 일어서는 것도, 하루를 평범하게 살아내는 것도 모두 버거운 일이었기에 나는 그저 제일 가까이 있는 날 닮은 친구에게 울면서 달려가는 일 밖엔 할 수 없었다.
“나 너무 힘들어. 너도 힘들지? 그래서 우린 서로를 이해해 줘야 해, 무.조.건.”

-
웃으면 눈이 뿅-하고 사라지는 친구의 맑은 얼굴을 보며 나는 속으로 몇 번이고 미안하다는 말을 건넨다.
그땐 그게 최선이었어. 살기 위해서 네가 필요했어. 정말 미안해.
자질구레한 표현을 늘어놓지 않는 성격의 친구도 그런 날 보며 툭 말하는 듯하다. 나도 그랬는걸. 괜찮아.

10대, 20대를 지나 40대가 되어서도 우리의 고민은 여전하다.
쉼표가 되어주는 가족, 안정적인 대화, 사랑 가득한 포옹은 이번 생에는 틀린 것 같다고 느낀다.
그렇지만 그때와 지금은 다르다. 우린 우리가 선택한 새로운 가족들이 생겼고, 다신 과거로 돌아가지 않을 것이다.

-
나를 닮은 네가 그저 지금처럼 눈이 뿅-하고 사라지며 환히 웃었음 좋겠어.
너를 닮은 내가 더 이상 공원에 혼자 앉아 외롭게 우는 일은 없었음 좋겠어.

#5월은누군가에겐잔인한달",슬픔
Cef13YCrK6F,"-
👇🏻 매일매일 재밌는 짤 보고싶다면? 👇🏻
👇🏻 🤣매일 꿀잼+정보 업로드😂 👇🏻
———————————————————
👉🏻 @kk.44.ss @kk.44.ss 👈🏻
👉🏻 @kk.44.ss @kk.44.ss 👈🏻
———————————————————




#눈물주의 #슬픔 #짤 #썰 #슬픈썰 #자식의제사상 #부모보다 #먼저죽는건 #가장 #큰 #불효라는데 #괜찮아졌으면좋겠다...",슬픔
CeH6-YEBV63,"즐거운 하루를 원하시면 @lululala.lime
———————————————————
마음아프다 ㅠㅠㅠㅠ

.
.
.

#짤#김우빈#한지민#장애#가족#다운증후군#동영상#슬픔#감동#우리들의블루스#유머 #유머스타그램 #유머저장소 #예능 #좋반 #좋아요반사 #좋아요 #팔로우 #꿀잼#짤방#웃긴영상#웃긴짤 #선팔하면맞팔",슬픔
Cd0IVjPrxcN,"진짜 레전드임 ㅠ
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#레전드 #아직도회자되는 #연애 #끝 #헤어짐 #전남친 #전여친 #슬픔 #눈물주의 #눈물나 #마음아파",슬픔
CfJ7dBePh-G,"첫줄
레이저 각인 지포 라이터 오픈기념 초특가 이벤트 합니다~!!!^_^v
정품 EARTH 오일 라이터에 이쁘게 각인해 드립니다~
아버지 친구 남친 선물용으로도 좋구 커플 라이터로도 좋아요~~
캠핑 다니시는 분들도 라이터들 많이들 구매 하시더라구요~
레이저로 각인을 하여 평생 지워지지않는 나만의 지포 라이터~
이름 이니셜 간단한 문구 같은건 무료각인 서비스 해드리구요~
만화 이미지 사진 같은건 메일로 보내주시면 예쁘게 각인해 드립니다~

라이터+단면/양면 문구나 이니셜 각인 단돈 9900원
라이터+단면 사진이나 이미지각인 15000원
라이터+양면 사진이나 이미지각인 19000원

가격이 싸다고 저가 레이저 장비나 다이아몬드 각인 같은게 아닌 최신 mopa레이저 장비 도입 하였습니다~
정말 단지 오픈이벤트로 많은분들에게 입소문 나기위한 이벤트 입니다~!!

거기다 후기 이벤트 합니다~~

물건 받으시고 사진후기+한달후기 총 2개 작성하시고 저한테 인증톡 보내주시는 분들에게
지포 라이터 소모품이자 필수품인..

1.부싯돌
2.심지
3.기름
4.인서트마개
5.무료배송

이렇게 총 4가지선물을 무료배송으로 보내드립니다~!!!
후기 이벤트 선물이 라이터가격보다 더 비쌉니다~!!ㅎㅎㅎ
진짜 사장님이 미쳤어요 이벤트 입니다~ㅋㅋㅋ

인스타 메인에 있는 URL 클릭하면 구경오실수 있습니다~
.
.
.
.
.
#지포라이터#라이터각인#선물#남친선물#레이저각인#여행#캠핑#휴가#추억#애완#동물#사랑#행복#슬픔#이별#남친#여친#커플#데이트#취미#자동차#아이템#게임#애니#책#유머#사진#음악#트로트#독서",슬픔
